"Date","Price","Open","High","Low","Vol.","Change %"
"07/08/2025","0.4560","0.4600","0.4630","0.4520","12.35M","-0.87%"
"07/07/2025","0.4600","0.4640","0.4650","0.4550","9.56M","-0.65%"
"07/04/2025","0.4630","0.4680","0.4680","0.4560","10.33M","0.00%"
"07/03/2025","0.4630","0.4640","0.4670","0.4570","7.82M","-0.64%"
"07/02/2025","0.4660","0.4750","0.4790","0.4660","19.17M","-0.85%"
"07/01/2025","0.4700","0.4600","0.4790","0.4600","55.20M","2.84%"
"06/30/2025","0.4570","0.4610","0.4630","0.4530","20.09M","0.22%"
"06/26/2025","0.4560","0.4390","0.4660","0.4310","48.81M","4.35%"
"06/25/2025","0.4370","0.4360","0.4450","0.4330","14.50M","0.46%"
"06/24/2025","0.4350","0.4330","0.4420","0.4330","28.29M","2.35%"
"06/23/2025","0.4250","0.4220","0.4340","0.4220","19.58M","-0.23%"
"06/20/2025","0.4260","0.4190","0.4290","0.4180","11.31M","2.90%"
"06/19/2025","0.4140","0.4220","0.4220","0.4100","7.31M","-1.66%"
"06/18/2025","0.4210","0.4140","0.4310","0.4110","23.26M","1.69%"
"06/17/2025","0.4140","0.4220","0.4280","0.4130","19.55M","-2.36%"
"06/16/2025","0.4240","0.4150","0.4370","0.4150","11.05M","0.95%"
"06/13/2025","0.4200","0.3890","0.4200","0.3890","29.23M","-2.78%"
"06/12/2025","0.4320","0.4520","0.4520","0.4320","23.13M","-5.05%"
"06/11/2025","0.4550","0.4650","0.4650","0.4510","18.63M","-1.73%"
"06/10/2025","0.4630","0.4760","0.4860","0.4580","39.03M","-2.53%"
"06/09/2025","0.4750","0.4500","0.5000","0.4430","117.81M","4.63%"
"06/04/2025","0.4540","0.4800","0.4800","0.4500","53.08M","-4.42%"
"06/03/2025","0.4750","0.4250","0.4750","0.4230","76.28M","12.03%"
"06/02/2025","0.4240","0.4150","0.4250","0.4150","10.26M","2.17%"
"05/30/2025","0.4150","0.4160","0.4190","0.4100","3.58M","-0.24%"
"05/29/2025","0.4160","0.4160","0.4170","0.4120","6.81M","0.24%"
"05/28/2025","0.4150","0.4180","0.4180","0.4140","3.00M","-0.72%"
"05/27/2025","0.4180","0.4210","0.4210","0.4150","11.63M","-0.71%"
"05/26/2025","0.4210","0.4180","0.4230","0.4180","2.83M","0.24%"
"05/23/2025","0.4200","0.4280","0.4280","0.4180","12.13M","-1.87%"
"05/22/2025","0.4280","0.4230","0.4290","0.4200","10.67M","0.47%"
"05/21/2025","0.4260","0.4320","0.4330","0.4250","16.01M","-0.47%"
"05/20/2025","0.4280","0.4250","0.4340","0.4250","22.54M","0.71%"
"05/19/2025","0.4250","0.4260","0.4290","0.4240","6.18M","0.00%"
"05/16/2025","0.4250","0.4230","0.4330","0.4230","15.99M","-0.93%"
"05/15/2025","0.4290","0.4330","0.4380","0.4290","8.39M","-1.15%"
"05/14/2025","0.4340","0.4380","0.4380","0.4330","9.28M","-0.91%"
"05/13/2025","0.4380","0.4360","0.4460","0.4330","47.20M","0.46%"
"05/12/2025","0.4360","0.4370","0.4380","0.4310","4.29M","0.69%"
"05/09/2025","0.4330","0.4380","0.4380","0.4320","7.56M","0.00%"
"05/08/2025","0.4330","0.4340","0.4410","0.4330","21.07M","-0.23%"
"05/07/2025","0.4340","0.4370","0.4430","0.4330","17.55M","-0.69%"
"05/06/2025","0.4370","0.4420","0.4450","0.4370","13.38M","-0.91%"
"05/05/2025","0.4410","0.4400","0.4450","0.4250","29.17M","0.23%"
"05/02/2025","0.4400","0.4380","0.4420","0.4320","9.22M","0.00%"
"05/01/2025","0.4400","0.4550","0.4600","0.4380","26.06M","-3.30%"
"04/30/2025","0.4550","0.4620","0.4620","0.4540","8.27M","-1.94%"
"04/29/2025","0.4640","0.4590","0.4650","0.4590","7.42M","1.31%"
"04/28/2025","0.4580","0.4700","0.4820","0.4580","57.46M","-2.35%"
"04/25/2025","0.4690","0.4580","0.4700","0.4500","41.24M","1.74%"
"04/24/2025","0.4610","0.4740","0.4740","0.4570","46.73M","-2.74%"
"04/23/2025","0.4740","0.4890","0.4900","0.4740","40.30M","-3.07%"
"04/22/2025","0.4890","0.4880","0.4930","0.4800","23.32M","-0.20%"
"04/21/2025","0.4900","0.4960","0.5050","0.4800","80.77M","-0.61%"
"04/18/2025","0.4930","0.5000","0.5090","0.4900","40.43M","-1.00%"
"04/17/2025","0.4980","0.4840","0.5040","0.4790","56.24M","2.68%"
"04/16/2025","0.4850","0.4840","0.4940","0.4700","69.92M","0.62%"
"04/15/2025","0.4820","0.4450","0.4900","0.4450","114.28M","8.56%"
"04/14/2025","0.4440","0.4080","0.4540","0.4080","105.63M","9.09%"
"04/11/2025","0.4070","0.4090","0.4160","0.4000","11.18M","-0.97%"
"04/10/2025","0.4110","0.4220","0.4250","0.4040","26.35M","0.24%"
"04/09/2025","0.4100","0.4000","0.4120","0.3910","30.65M","1.49%"
"04/08/2025","0.4040","0.3900","0.4200","0.3900","43.18M","5.21%"
"04/07/2025","0.3840","0.3660","0.3850","0.3550","44.57M","-1.54%"
"04/04/2025","0.3900","0.3810","0.3970","0.3810","23.96M","0.00%"
"04/03/2025","0.3900","0.4000","0.4090","0.3860","22.74M","-2.74%"
"04/02/2025","0.4010","0.3860","0.4180","0.3840","53.20M","4.97%"
"03/28/2025","0.3820","0.3870","0.3880","0.3800","8.89M","-0.78%"
"03/27/2025","0.3850","0.3780","0.3910","0.3780","12.48M","1.32%"
"03/26/2025","0.3800","0.3800","0.3830","0.3740","27.13M","-1.04%"
"03/25/2025","0.3840","0.3850","0.3950","0.3820","64.96M","-0.26%"
"03/24/2025","0.3850","0.3710","0.3850","0.3710","76.28M","4.34%"
"03/21/2025","0.3690","0.3650","0.3720","0.3650","12.54M","1.10%"
"03/20/2025","0.3650","0.3650","0.3770","0.3650","16.11M","1.11%"
"03/19/2025","0.3610","0.3650","0.3700","0.3600","16.73M","-1.10%"
"03/18/2025","0.3650","0.3800","0.3950","0.3650","110.52M","-3.69%"
"03/17/2025","0.3790","0.3600","0.3790","0.3600","41.51M","5.57%"
"03/14/2025","0.3590","0.3390","0.3630","0.3330","39.14M","5.59%"
"03/13/2025","0.3400","0.3310","0.3430","0.3310","15.43M","3.03%"
"03/12/2025","0.3300","0.3250","0.3360","0.3220","11.35M","1.54%"
"03/11/2025","0.3250","0.3270","0.3270","0.3170","12.24M","-1.22%"
"03/10/2025","0.3290","0.3230","0.3290","0.3230","11.33M","2.17%"
"03/07/2025","0.3220","0.3230","0.3290","0.3210","10.90M","-0.92%"
"03/06/2025","0.3250","0.3280","0.3320","0.3250","9.19M","-1.22%"
"03/05/2025","0.3290","0.3280","0.3360","0.3280","13.45M","0.30%"
"03/04/2025","0.3280","0.3300","0.3310","0.3240","11.59M","0.61%"
"03/03/2025","0.3260","0.3240","0.3290","0.3220","6.18M","0.93%"
"02/28/2025","0.3230","0.3190","0.3280","0.3180","6.48M","1.89%"
"02/27/2025","0.3170","0.3240","0.3300","0.3150","8.69M","-2.16%"
"02/26/2025","0.3240","0.3260","0.3290","0.3220","14.53M","-0.31%"
"02/25/2025","0.3250","0.3420","0.3430","0.3250","27.42M","-4.69%"
"02/24/2025","0.3410","0.3350","0.3420","0.3280","17.48M","1.79%"
"02/21/2025","0.3350","0.3320","0.3360","0.3300","9.31M","1.82%"
"02/20/2025","0.3290","0.3300","0.3330","0.3270","12.22M","-0.30%"
"02/19/2025","0.3300","0.3280","0.3360","0.3280","27.95M","0.30%"
