"Date","Price","Open","High","Low","Vol.","Change %"
"10/17/2025","22.420","22.840","22.860","22.360","1.63M","-1.84%"
"10/16/2025","22.840","22.740","22.900","22.520","2.07M","0.35%"
"10/15/2025","22.760","22.700","23.060","22.700","3.14M","0.35%"
"10/14/2025","22.680","22.380","22.720","22.380","2.72M","1.43%"
"10/13/2025","22.360","22.280","22.420","22.060","986.65K","0.09%"
"10/10/2025","22.340","22.200","22.340","21.960","1.89M","0.63%"
"10/09/2025","22.200","21.600","22.360","21.560","4.45M","2.87%"
"10/08/2025","21.580","21.820","21.820","21.500","3.33M","-1.28%"
"10/07/2025","21.860","21.560","21.880","21.560","1.94M","1.49%"
"10/06/2025","21.540","22.120","22.160","21.500","2.49M","-2.62%"
"10/03/2025","22.120","22.000","22.200","22.000","1.05M","0.64%"
"10/02/2025","21.980","22.200","22.500","21.940","3.07M","-0.99%"
"10/01/2025","22.200","21.800","22.340","21.800","3.20M","1.93%"
"09/30/2025","21.780","21.780","21.900","21.360","4.13M","-0.09%"
"09/29/2025","21.800","22.140","22.300","21.620","3.71M","-2.24%"
"09/26/2025","22.300","21.980","22.300","21.800","2.68M","1.46%"
"09/25/2025","21.980","22.340","22.400","21.960","5.70M","-1.43%"
"09/24/2025","22.300","23.340","23.340","22.160","4.78M","-4.54%"
"09/23/2025","23.360","23.700","23.760","23.140","3.51M","-1.43%"
"09/22/2025","23.700","23.520","23.780","23.420","1.94M","0.85%"
"09/19/2025","23.500","22.860","23.500","22.860","4.97M","2.80%"
"09/18/2025","22.860","22.740","23.040","22.560","2.22M","0.53%"
"09/17/2025","22.740","22.720","23.040","22.660","6.05M","0.00%"
"09/16/2025","22.740","22.720","22.840","22.520","2.17M","0.18%"
"09/15/2025","22.700","22.200","22.860","22.180","3.57M","2.34%"
"09/12/2025","22.180","21.900","22.180","21.900","1.37M","1.28%"
"09/11/2025","21.900","21.860","22.140","21.820","2.73M","0.27%"
"09/10/2025","21.840","21.760","21.960","21.700","2.05M","0.37%"
"09/09/2025","21.760","21.700","21.920","21.520","3.48M","0.28%"
"09/08/2025","21.700","21.880","22.180","21.040","8.22M","-0.64%"
"09/04/2025","21.840","21.400","21.900","21.400","2.56M","2.15%"
"09/03/2025","21.380","21.080","21.600","21.080","5.45M","1.52%"
"09/02/2025","21.060","20.520","21.120","20.400","2.83M","1.74%"
"09/01/2025","20.700","21.440","21.440","20.600","4.37M","-3.00%"
"08/29/2025","21.340","21.800","21.800","21.340","1.70M","-1.57%"
"08/28/2025","21.680","21.960","22.100","21.680","1.39M","-1.28%"
"08/27/2025","21.960","21.900","21.960","21.680","5.35M","1.57%"
"08/26/2025","21.620","21.720","21.960","21.620","8.70M","-0.64%"
"08/25/2025","21.760","21.980","22.100","21.760","2.53M","-0.46%"
"08/22/2025","21.860","21.700","21.960","21.680","1.88M","0.74%"
"08/21/2025","21.700","21.720","21.880","21.500","2.72M","0.00%"
"08/20/2025","21.700","21.900","22.140","21.620","3.33M","-0.91%"
"08/19/2025","21.900","22.200","22.240","21.700","8.18M","-1.62%"
"08/18/2025","22.260","22.640","22.700","22.120","2.61M","-1.59%"
"08/15/2025","22.620","22.840","22.880","22.620","1.84M","-0.88%"
"08/14/2025","22.820","22.880","23.120","22.800","2.03M","-0.26%"
"08/13/2025","22.880","22.900","22.940","22.740","2.61M","0.79%"
"08/12/2025","22.700","22.900","22.960","22.680","2.44M","-0.87%"
"08/11/2025","22.900","23.320","23.320","22.760","2.04M","-1.89%"
"08/08/2025","23.340","23.440","23.440","23.140","1.54M","-0.43%"
"08/07/2025","23.440","23.600","23.600","23.360","2.67M","-0.68%"
"08/06/2025","23.600","23.860","23.900","23.320","3.27M","-1.09%"
"08/05/2025","23.860","23.780","23.900","23.780","1.40M","0.34%"
"08/04/2025","23.780","23.740","23.880","23.480","904.25K","0.34%"
"08/01/2025","23.700","24.180","24.200","23.620","2.02M","-1.90%"
"07/31/2025","24.160","24.200","24.340","24.100","3.58M","-0.17%"
"07/30/2025","24.200","24.500","24.500","24.000","1.90M","-0.25%"
"07/29/2025","24.260","24.340","24.720","24.120","4.69M","-0.16%"
"07/28/2025","24.300","23.800","24.460","23.800","2.66M","2.10%"
"07/25/2025","23.800","23.500","23.800","23.440","1.41M","1.28%"
"07/24/2025","23.500","23.920","24.260","23.380","4.58M","-0.42%"
"07/23/2025","23.600","23.000","23.640","23.000","1.38M","2.70%"
"07/22/2025","22.980","23.300","23.380","22.800","1.65M","-1.37%"
"07/21/2025","23.300","23.280","23.680","23.180","1.72M","0.09%"
"07/18/2025","23.280","23.220","23.400","23.100","1.47M","0.26%"
"07/17/2025","23.220","22.980","23.500","22.940","2.71M","1.04%"
"07/16/2025","22.980","22.420","23.260","22.420","4.22M","1.77%"
"07/15/2025","22.580","22.200","22.700","22.040","6.50M","2.54%"
"07/14/2025","22.020","22.240","22.340","21.980","4.97M","-0.99%"
"07/11/2025","22.240","22.000","22.240","21.940","4.02M","0.72%"
"07/10/2025","22.080","22.400","22.400","21.920","2.67M","-1.43%"
"07/09/2025","22.400","22.260","22.400","22.160","2.40M","0.54%"
"07/08/2025","22.280","22.000","22.440","22.000","5.18M","1.55%"
"07/07/2025","21.940","21.660","22.020","21.660","2.66M","1.29%"
"07/04/2025","21.660","21.600","21.720","21.460","1.22M","0.28%"
"07/03/2025","21.600","21.400","21.600","21.320","2.19M","0.47%"
"07/02/2025","21.500","21.300","21.500","21.140","1.78M","0.75%"
"07/01/2025","21.340","21.500","21.900","21.200","2.40M","-0.74%"
"06/30/2025","21.500","21.180","21.940","21.180","5.82M","1.51%"
"06/26/2025","21.180","20.300","21.180","20.300","4.67M","4.33%"
"06/25/2025","20.300","20.420","20.580","20.180","3.01M","-0.59%"
"06/24/2025","20.420","19.520","20.600","19.520","8.44M","5.91%"
"06/23/2025","19.280","19.080","19.480","19.060","1.78M","0.84%"
"06/20/2025","19.120","18.740","19.220","18.740","3.67M","2.03%"
"06/19/2025","18.740","19.060","19.060","18.640","5.10M","-1.68%"
"06/18/2025","19.060","19.400","19.400","19.060","5.16M","-1.75%"
"06/17/2025","19.400","19.600","19.640","19.360","3.04M","0.00%"
"06/16/2025","19.400","19.200","19.480","19.200","2.36M","1.04%"
"06/13/2025","19.200","18.300","19.380","18.100","5.43M","-3.42%"
"06/12/2025","19.880","20.060","20.120","19.700","3.16M","-0.90%"
"06/11/2025","20.060","20.100","20.180","20.060","849.70K","-0.59%"
"06/10/2025","20.180","20.000","20.180","19.940","4.33M","0.90%"
"06/09/2025","20.000","20.180","20.220","19.920","2.34M","-0.89%"
"06/04/2025","20.180","19.600","20.180","19.600","4.81M","2.44%"
"06/03/2025","19.700","19.260","19.700","19.260","4.83M","2.60%"
"06/02/2025","19.200","19.200","19.300","19.120","3.65M","0.10%"
"05/30/2025","19.180","19.440","19.480","19.180","13.95M","-1.64%"
"05/29/2025","19.500","19.780","19.780","19.380","3.87M","-1.32%"
"05/28/2025","19.760","19.640","19.780","19.600","4.11M","1.13%"
"05/27/2025","19.540","19.380","19.640","19.380","4.24M","0.83%"
"05/26/2025","19.380","19.200","19.420","19.160","3.49M","1.04%"
"05/23/2025","19.180","18.980","19.200","18.840","6.58M","1.16%"
"05/22/2025","18.960","19.120","19.180","18.900","1.92M","-0.84%"
"05/21/2025","19.120","19.260","19.360","19.120","2.05M","-0.73%"
"05/20/2025","19.260","18.900","19.260","18.900","4.24M","1.58%"
"05/19/2025","18.960","19.100","19.100","18.780","5.33M","-0.73%"
"05/16/2025","19.100","18.940","19.280","18.940","3.02M","0.95%"
"05/15/2025","18.920","19.380","19.400","18.920","4.55M","-2.37%"
"05/14/2025","19.380","20.000","20.020","19.340","4.39M","-3.10%"
"05/13/2025","20.000","19.900","20.160","19.780","3.36M","1.01%"
"05/12/2025","19.800","19.720","19.880","19.620","2.67M","0.51%"
"05/09/2025","19.700","19.280","19.760","19.280","5.00M","2.07%"
"05/08/2025","19.300","19.100","19.340","19.100","3.27M","1.05%"
"05/07/2025","19.100","19.300","19.620","19.040","4.85M","-1.65%"
"05/06/2025","19.420","18.660","19.460","18.580","4.72M","4.07%"
"05/05/2025","18.660","18.540","18.660","18.480","1.66M","0.97%"
"05/02/2025","18.480","18.440","18.620","18.300","4.32M","0.11%"
"05/01/2025","18.460","18.400","18.460","18.180","3.31M","0.87%"
"04/30/2025","18.300","18.300","18.460","18.060","3.49M","0.00%"
"04/29/2025","18.300","18.280","18.560","18.160","4.47M","0.11%"
"04/28/2025","18.280","17.900","18.380","17.680","4.28M","3.63%"
"04/25/2025","17.640","18.080","18.180","17.640","4.56M","-2.22%"
"04/24/2025","18.040","17.060","18.180","17.060","5.74M","6.75%"
"04/23/2025","16.900","16.520","16.960","16.520","967.49K","2.42%"
"04/22/2025","16.500","16.400","16.620","16.300","1.80M","0.49%"
"04/21/2025","16.420","16.360","16.460","16.260","713.39K","0.49%"
"04/18/2025","16.340","16.200","16.340","16.200","464.73K","0.99%"
"04/17/2025","16.180","16.380","16.380","16.160","1.80M","-1.34%"
"04/16/2025","16.400","16.780","16.780","16.260","2.92M","-1.56%"
"04/15/2025","16.660","16.400","16.800","16.260","4.02M","2.46%"
"04/14/2025","16.260","16.240","16.400","16.200","2.44M","0.74%"
"04/11/2025","16.140","16.020","16.160","15.800","2.67M","0.87%"
"04/10/2025","16.000","16.000","16.240","15.940","2.16M","2.30%"
"04/09/2025","15.640","15.400","15.740","15.300","3.40M","0.90%"
"04/08/2025","15.500","15.160","15.900","15.160","6.36M","2.65%"
"04/07/2025","15.100","15.460","15.460","14.500","5.49M","-4.43%"
"04/04/2025","15.800","16.000","16.100","15.800","5.77M","-1.86%"
"04/03/2025","16.100","16.520","16.560","16.000","2.38M","-2.78%"
"04/02/2025","16.560","16.040","16.560","15.960","3.31M","3.24%"
"03/28/2025","16.040","16.240","16.320","16.040","2.56M","-1.23%"
"03/27/2025","16.240","16.380","16.380","16.160","1.43M","-0.85%"
"03/26/2025","16.380","16.300","16.440","16.160","2.50M","0.49%"
"03/25/2025","16.300","16.400","16.440","16.160","2.41M","-0.49%"
"03/24/2025","16.380","16.680","16.700","16.360","2.09M","-1.33%"
"03/21/2025","16.600","16.980","17.760","16.340","4.77M","-1.43%"
"03/20/2025","16.840","16.760","17.220","16.680","2.26M","0.60%"
"03/19/2025","16.740","16.980","16.980","16.540","3.20M","-3.68%"
"03/18/2025","17.380","17.040","17.480","17.040","2.38M","2.00%"
"03/17/2025","17.040","17.060","17.160","17.000","2.08M","0.00%"
"03/14/2025","17.040","17.020","17.180","17.000","874.72K","0.12%"
"03/13/2025","17.020","17.020","17.300","17.020","3.72M","0.12%"
"03/12/2025","17.000","17.040","17.420","16.980","4.29M","-0.23%"
"03/11/2025","17.040","17.760","17.760","16.700","8.11M","-4.05%"
"03/10/2025","17.760","17.760","17.760","17.760","","0.00%"
"03/07/2025","17.760","17.940","18.000","17.300","2.10M","-1.00%"
"03/06/2025","17.940","17.900","18.080","17.720","3.61M","0.67%"
"03/05/2025","17.820","17.660","17.940","17.540","6.73M","1.83%"
"03/04/2025","17.500","17.000","17.740","17.000","3.57M","2.94%"
"03/03/2025","17.000","17.000","17.140","16.920","2.33M","0.00%"
"02/28/2025","17.000","17.160","17.260","16.940","6.20M","-0.58%"
"02/27/2025","17.100","16.960","17.160","16.860","4.74M","0.83%"
"02/26/2025","16.960","16.700","16.960","16.640","4.17M","1.19%"
"02/25/2025","16.760","16.800","16.820","16.580","4.25M","-0.24%"
"02/24/2025","16.800","16.880","17.080","16.800","6.75M","-0.47%"
"02/21/2025","16.880","16.760","17.120","16.740","4.91M","1.20%"
"02/20/2025","16.680","16.260","17.100","16.220","6.83M","2.84%"
"02/19/2025","16.220","16.220","16.340","16.160","2.21M","0.00%"
