"Date","Price","Open","High","Low","Vol.","Change %"
"12/26/2025","9.64","9.65","9.70","9.56","9.99M","-0.52%"
"12/25/2025","9.69","9.65","9.79","9.54","10.20M","1.47%"
"12/24/2025","9.55","9.52","9.72","9.50","9.92M","0.32%"
"12/23/2025","9.52","9.04","9.67","9.04","10.23M","5.43%"
"12/22/2025","9.03","9.03","9.25","9.02","4.45M","0.33%"
"12/19/2025","9.00","9.71","9.71","9.00","1.17M","-7.22%"
"12/18/2025","9.70","9.69","9.76","9.60","190.26K","0.00%"
"12/17/2025","9.70","9.92","9.97","9.70","276.83K","-2.12%"
"12/16/2025","9.91","10.16","10.16","9.91","326.76K","-2.27%"
"12/15/2025","10.14","10.24","10.24","10.02","86.18K","-0.98%"
"12/12/2025","10.24","10.38","10.38","10.12","230.39K","-1.54%"
"12/11/2025","10.40","10.48","10.50","10.36","189.55K","-0.95%"
"12/10/2025","10.50","10.50","10.54","10.36","598.98K","0.77%"
"12/09/2025","10.42","9.67","10.62","9.61","2.02M","8.77%"
"12/08/2025","9.58","9.48","9.59","9.30","302.78K","1.05%"
"12/05/2025","9.48","9.40","9.52","9.37","131.96K","0.96%"
"12/04/2025","9.39","9.36","9.43","9.20","331.30K","0.32%"
"12/03/2025","9.36","9.02","9.42","9.02","503.16K","3.88%"
"11/28/2025","9.01","8.79","9.18","8.64","657.68K","2.62%"
"11/27/2025","8.78","8.71","8.91","8.70","108.43K","0.92%"
"11/26/2025","8.70","8.78","8.78","8.57","162.42K","-1.02%"
"11/25/2025","8.79","8.80","8.80","8.71","55.08K","-0.11%"
"11/24/2025","8.80","9.12","9.12","8.57","1.03M","-3.51%"
"11/21/2025","9.12","9.49","9.49","9.10","675.10K","-3.80%"
"11/20/2025","9.48","9.60","9.60","9.45","244.01K","-1.25%"
"11/19/2025","9.60","9.50","9.65","9.35","192.48K","1.05%"
"11/18/2025","9.50","9.55","9.59","9.36","227.37K","-0.52%"
"11/17/2025","9.55","9.86","9.86","9.50","18.35M","-2.35%"
"11/14/2025","9.78","9.98","10.00","9.64","664.55K","-2.59%"
"11/13/2025","10.04","10.14","10.16","9.89","391.34K","-1.18%"
"11/12/2025","10.16","10.14","10.38","10.12","442.03K","0.20%"
"11/11/2025","10.14","10.18","10.18","10.04","124.67K","-0.20%"
"11/10/2025","10.16","9.89","10.22","9.89","518.78K","2.83%"
"11/07/2025","9.88","9.85","9.92","9.82","195.66K","0.30%"
"11/06/2025","9.85","9.84","9.96","9.80","157.71K","0.00%"
"11/05/2025","9.85","9.91","9.91","9.76","141.89K","-0.61%"
"11/04/2025","9.91","9.82","9.99","9.75","223.86K","0.71%"
"11/03/2025","9.84","10.04","10.04","9.84","268.65K","-1.80%"
"10/31/2025","10.02","10.26","10.28","9.94","799.78K","-0.79%"
